kind,collateral,debt,priceWad,spreadPpm,amountIn,out,newColl,newDebt,preAnchor,safeAfter
L,100000000000000000000,30000000000000000000,1000000000000000000,100,100000000000000001,116067369523184649,100100000000000000001,30116067369523184649,202215979827942172649,1
L,100000000000000000000,30000000000000000000,1000000000000000000,100,10000000000000000001,11333061082654793361,110000000000000000001,41333061082654793361,202215979827942172649,1
L,100000000000000000000,30000000000000000000,1000000000000000000,100,100000000000000000000,95351778317147374736,200000000000000000000,125351778317147374736,202215979827942172649,1
D,100000000000000000000,30000000000000000000,1000000000000000000,100,1,0,100000000000000000000,30000000000000000000,202215979827942172649,1
D,100000000000000000000,30000000000000000000,1000000000000000000,100,30000000000000001,25833762486866701,99974166237513133299,29969999999999999999,202215979827942172649,1
D,100000000000000000000,30000000000000000000,1000000000000000000,100,10000000000000000001,8426383702091796160,91573616297908203840,19999999999999999999,202215979827942172649,1
D,100000000000000000000,30000000000000000000,1000000000000000000,100,30000000000000000000,24166590663765233087,75833409336234766913,0,202215979827942172649,1
L,100000000000000000000,30000000000000000000,1000000000000000000,17500,100000000000000001,114047595316060524,100100000000000000001,30114047595316060524,202215979827942172649,1
L,100000000000000000000,30000000000000000000,1000000000000000000,17500,10000000000000000001,11135846098318166294,110000000000000000001,41135846098318166294,202215979827942172649,1
L,100000000000000000000,30000000000000000000,1000000000000000000,17500,100000000000000000000,93692491445741869865,200000000000000000000,123692491445741869865,202215979827942172649,1
D,100000000000000000000,30000000000000000000,1000000000000000000,17500,1,0,100000000000000000000,30000000000000000000,202215979827942172649,1
D,100000000000000000000,30000000000000000000,1000000000000000000,17500,30000000000000001,25384210064352969,99974615789935647031,29969999999999999999,202215979827942172649,1
D,100000000000000000000,30000000000000000000,1000000000000000000,17500,10000000000000000001,8279749962301419869,91720250037698580131,19999999999999999999,202215979827942172649,1
D,100000000000000000000,30000000000000000000,1000000000000000000,17500,30000000000000000000,23746049932142555764,76253950067857444236,0,202215979827942172649,1
L,100000000000000000000,50496512422417805400,1000000000000000000,100,100000000000000001,99464912914671602,100100000000000000001,50595977335332477002,148502954738010608249,1
L,100000000000000000000,50496512422417805400,1000000000000000000,100,10000000000000000001,9704155544643858645,110000000000000000001,60200667967061664045,148502954738010608249,1
L,100000000000000000000,50496512422417805400,1000000000000000000,100,100000000000000000000,0,100000000000000000000,50496512422417805400,148502954738010608249,1
D,100000000000000000000,50496512422417805400,1000000000000000000,100,1,0,100000000000000000000,50496512422417805400,148502954738010608249,1
D,100000000000000000000,50496512422417805400,1000000000000000000,100,50496512422417806,50738886230333492,99949261113769666508,50446015909995387594,148502954738010608249,1
D,100000000000000000000,50496512422417805400,1000000000000000000,100,16832170807472601801,16199734445944185543,83800265554055814457,33664341614945203599,148502954738010608249,1
D,100000000000000000000,50496512422417805400,1000000000000000000,100,50496512422417805400,44306960834048697303,55693039165951302697,0,148502954738010608249,1
L,100000000000000000000,50496512422417805400,1000000000000000000,17500,100000000000000001,97734050343699219,100100000000000000001,50594246472761504619,148502954738010608249,1
L,100000000000000000000,50496512422417805400,1000000000000000000,17500,10000000000000000001,9535286351247715890,110000000000000000001,60031798773665521290,148502954738010608249,1
L,100000000000000000000,50496512422417805400,1000000000000000000,17500,100000000000000000000,0,100000000000000000000,50496512422417805400,148502954738010608249,1
D,100000000000000000000,50496512422417805400,1000000000000000000,17500,1,0,100000000000000000000,50496512422417805400,148502954738010608249,1
D,100000000000000000000,50496512422417805400,1000000000000000000,17500,50496512422417806,50084289138252982,99949915710861747018,50446015909995387594,148502954738010608249,1
D,100000000000000000000,50496512422417805400,1000000000000000000,17500,16832170807472601801,15990736971844095540,84009263028155904460,33664341614945203599,148502954738010608249,1
D,100000000000000000000,50496512422417805400,1000000000000000000,17500,50496512422417805400,43735343877593823621,56264656122406176379,0,148502954738010608249,1
L,100000000000000000000,55000000000000000000,1000000000000000000,100,100000000000000001,94248216223504103,100100000000000000001,55094248216223504103,134081108984564921236,1
L,100000000000000000000,55000000000000000000,1000000000000000000,100,10000000000000000001,9170445597176987440,110000000000000000001,64170445597176987440,134081108984564921236,1
L,100000000000000000000,55000000000000000000,1000000000000000000,100,100000000000000000000,0,100000000000000000000,55000000000000000000,134081108984564921236,1
D,100000000000000000000,55000000000000000000,1000000000000000000,100,1,0,100000000000000000000,55000000000000000000,134081108984564921236,1
D,100000000000000000000,55000000000000000000,1000000000000000000,100,55000000000000001,58319242552145301,99941680757447854699,54944999999999999999,134081108984564921236,1
D,100000000000000000000,55000000000000000000,1000000000000000000,100,18333333333333333334,18457576369454601741,81542423630545398259,36666666666666666666,134081108984564921236,1
D,100000000000000000000,55000000000000000000,1000000000000000000,100,55000000000000000000,49714612172375075720,50285387827624924280,0,134081108984564921236,1
L,100000000000000000000,55000000000000000000,1000000000000000000,17500,100000000000000001,92608133252918073,100100000000000000001,55092608133252918073,134081108984564921236,1
L,100000000000000000000,55000000000000000000,1000000000000000000,17500,10000000000000000001,9010863885614951655,110000000000000000001,64010863885614951655,134081108984564921236,1
L,100000000000000000000,55000000000000000000,1000000000000000000,17500,100000000000000000000,0,100000000000000000000,55000000000000000000,134081108984564921236,1
D,100000000000000000000,55000000000000000000,1000000000000000000,17500,1,0,100000000000000000000,55000000000000000000,134081108984564921236,1
D,100000000000000000000,55000000000000000000,1000000000000000000,17500,55000000000000001,57566849083875800,99942433150916124200,54944999999999999999,134081108984564921236,1
D,100000000000000000000,55000000000000000000,1000000000000000000,17500,18333333333333333334,18219449821633855304,81780550178366144696,36666666666666666666,134081108984564921236,1
D,100000000000000000000,55000000000000000000,1000000000000000000,17500,55000000000000000000,49073229537087908527,50926770462912091473,0,134081108984564921236,1
L,100000000000000000000,62000000000000000000,1000000000000000000,100,100000000000000001,80864832033658536,100100000000000000001,62080864832033658536,105135330808733167520,1
L,100000000000000000000,62000000000000000000,1000000000000000000,100,10000000000000000001,7808992652023280300,110000000000000000001,69808992652023280300,105135330808733167520,1
L,100000000000000000000,62000000000000000000,1000000000000000000,100,100000000000000000000,0,100000000000000000000,62000000000000000000,105135330808733167520,1
D,100000000000000000000,62000000000000000000,1000000000000000000,100,1,0,100000000000000000000,62000000000000000000,105135330808733167520,1
D,100000000000000000000,62000000000000000000,1000000000000000000,100,62000000000000001,76607794407454471,99923392205592545529,61937999999999999999,105135330808733167520,1
D,100000000000000000000,62000000000000000000,1000000000000000000,100,20666666666666666667,23475063254394762157,76524936745605237843,41333333333333333333,105135330808733167520,1
D,100000000000000000000,62000000000000000000,1000000000000000000,100,62000000000000000000,60568193521630389673,39431806478369610327,0,105135330808733167520,1
L,100000000000000000000,62000000000000000000,1000000000000000000,17500,100000000000000001,79457643237393251,100100000000000000001,62079457643237393251,105135330808733167520,1
L,100000000000000000000,62000000000000000000,1000000000000000000,17500,10000000000000000001,7673102590871960090,110000000000000000001,69673102590871960090,105135330808733167520,1
L,100000000000000000000,62000000000000000000,1000000000000000000,17500,100000000000000000000,0,100000000000000000000,62000000000000000000,105135330808733167520,1
D,100000000000000000000,62000000000000000000,1000000000000000000,17500,1,0,100000000000000000000,62000000000000000000,105135330808733167520,1
D,100000000000000000000,62000000000000000000,1000000000000000000,17500,62000000000000001,75619455025660128,99924380544974339872,61937999999999999999,105135330808733167520,1
D,100000000000000000000,62000000000000000000,1000000000000000000,17500,20666666666666666667,23172204652552885538,76827795347447114462,41333333333333333333,105135330808733167520,1
D,100000000000000000000,62000000000000000000,1000000000000000000,17500,62000000000000000000,59786785684417636371,40213214315582363629,0,105135330808733167520,1
L,100000000000000000000,64516129032258064500,1000000000000000000,100,100000000000000001,0,100000000000000000000,64516129032258064500,79683463521798051553,1
L,100000000000000000000,64516129032258064500,1000000000000000000,100,10000000000000000001,0,100000000000000000000,64516129032258064500,79683463521798051553,1
L,100000000000000000000,64516129032258064500,1000000000000000000,100,100000000000000000000,0,100000000000000000000,64516129032258064500,79683463521798051553,1
D,100000000000000000000,64516129032258064500,1000000000000000000,100,1,0,100000000000000000000,64516129032258064500,79683463521798051553,1
D,100000000000000000000,64516129032258064500,1000000000000000000,100,64516129032258065,0,100000000000000000000,64516129032258064500,79683463521798051553,1
D,100000000000000000000,64516129032258064500,1000000000000000000,100,21505376344086021501,0,100000000000000000000,64516129032258064500,79683463521798051553,1
D,100000000000000000000,64516129032258064500,1000000000000000000,100,64516129032258064500,0,100000000000000000000,64516129032258064500,79683463521798051553,1
L,100000000000000000000,64516129032258064500,1000000000000000000,17500,100000000000000001,0,100000000000000000000,64516129032258064500,79683463521798051553,1
L,100000000000000000000,64516129032258064500,1000000000000000000,17500,10000000000000000001,0,100000000000000000000,64516129032258064500,79683463521798051553,1
L,100000000000000000000,64516129032258064500,1000000000000000000,17500,100000000000000000000,0,100000000000000000000,64516129032258064500,79683463521798051553,1
D,100000000000000000000,64516129032258064500,1000000000000000000,17500,1,0,100000000000000000000,64516129032258064500,79683463521798051553,1
D,100000000000000000000,64516129032258064500,1000000000000000000,17500,64516129032258065,0,100000000000000000000,64516129032258064500,79683463521798051553,1
D,100000000000000000000,64516129032258064500,1000000000000000000,17500,21505376344086021501,0,100000000000000000000,64516129032258064500,79683463521798051553,1
D,100000000000000000000,64516129032258064500,1000000000000000000,17500,64516129032258064500,0,100000000000000000000,64516129032258064500,79683463521798051553,1
L,100000000000000000000,66000000000000000000,1000000000000000000,100,100000000000000001,0,100000000000000000000,66000000000000000000,52626703512323633820,1
L,100000000000000000000,66000000000000000000,1000000000000000000,100,10000000000000000001,0,100000000000000000000,66000000000000000000,52626703512323633820,1
L,100000000000000000000,66000000000000000000,1000000000000000000,100,100000000000000000000,0,100000000000000000000,66000000000000000000,52626703512323633820,1
D,100000000000000000000,66000000000000000000,1000000000000000000,100,1,0,100000000000000000000,66000000000000000000,52626703512323633820,1
D,100000000000000000000,66000000000000000000,1000000000000000000,100,66000000000000001,90472618133572551,99909527381866427449,65933999999999999999,52626703512323633820,1
D,100000000000000000000,66000000000000000000,1000000000000000000,100,22000000000000000001,31806401990400474963,68193598009599525037,43999999999999999999,52626703512323633820,1
D,100000000000000000000,66000000000000000000,1000000000000000000,100,66000000000000000000,0,100000000000000000000,66000000000000000000,52626703512323633820,1
L,100000000000000000000,66000000000000000000,1000000000000000000,17500,100000000000000001,0,100000000000000000000,66000000000000000000,52626703512323633820,1
L,100000000000000000000,66000000000000000000,1000000000000000000,17500,10000000000000000001,0,100000000000000000000,66000000000000000000,52626703512323633820,1
L,100000000000000000000,66000000000000000000,1000000000000000000,17500,100000000000000000000,0,100000000000000000000,66000000000000000000,52626703512323633820,1
D,100000000000000000000,66000000000000000000,1000000000000000000,17500,1,0,100000000000000000000,66000000000000000000,52626703512323633820,1
D,100000000000000000000,66000000000000000000,1000000000000000000,17500,66000000000000001,89305404638299938,99910694595361700062,65933999999999999999,52626703512323633820,1
D,100000000000000000000,66000000000000000000,1000000000000000000,17500,22000000000000000001,31396058370362305019,68603941629637694981,43999999999999999999,52626703512323633820,1
D,100000000000000000000,66000000000000000000,1000000000000000000,17500,66000000000000000000,0,100000000000000000000,66000000000000000000,52626703512323633820,1
L,100000000000000000000,75000000000000000000,1000000000000000000,100,100000000000000001,0,100000000000000000000,75000000000000000000,23563060869640368746,1
