kind,aWad,xLo,xHi,yHi,anchor,kappa,x,stableIn,amountIn,gross,xAfter,unspent
Y,12070000000000000000,,,,,,1000000000000000,,,3732322895685447644,,
Y,12070000000000000000,,,,,,250750000000000000,,,762024199456466141,,
Y,12070000000000000000,,,,,,500500000000000000,,,499500038252652922,,
Y,12070000000000000000,,,,,,750250000000000000,,,261177021582531648,,
Y,12070000000000000000,,,,,,1000000000000000000,,,83139611737544941,,
Y,12070000000000000000,,,,,,1249750000000000000,,,26116842082842123,,
Y,12070000000000000000,,,,,,1499500000000000000,,,12479960447236176,,
Y,12070000000000000000,,,,,,1749250000000000000,,,7418178007853722,,
Y,12070000000000000000,,,,,,1999000000000000000,,,4955818733756412,,
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,87965475756152958,1,1,0,87965475756152958,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,87965475756152958,1,3,0,87965475756152958,3
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,87965475756152958,1,7,0,87965475756152958,7
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,87965475756152958,1,11,0,87965475756152958,11
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,87965475756152958,0,1,3,87965475756152959,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,87965475756152958,0,912723132381142,1907112963646837,88878198888534100,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,87965475756152958,0,304241044127046618,379901717382038270,392206519883199576,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,87965475756152958,0,1825446264762279679,906749843707076890,1000688608137292792,912723132381139845
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,218354494667744362,1,1,1,218354494667744361,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,218354494667744362,1,190039716113592,160509043700543,218193985624043819,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,218354494667744362,1,63346572037863335,50965838918409358,167388655749335004,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,218354494667744362,1,380079432227179983,130389018911591403,87965475756152959,190039716113589997
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,218354494667744362,0,1,1,218354494667744363,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,218354494667744362,0,782334113469551,925603354194013,219136828781213913,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,218354494667744362,0,260778037823182817,278605943428705778,479132532490927179,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,218354494667744362,0,1564668226939096871,716710127593486904,1000688608137292792,782334113469548441
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,500000000000000000,1,1,1,499999999999999999,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,500000000000000000,1,489580074276377,489543399312376,499510456600687624,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,500000000000000000,1,163193358092124745,158845198621964367,341154801378035633,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,500000000000000000,1,979160148552748443,412034524243847041,87965475756152959,489580074276374227
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,500000000000000000,0,1,1,500000000000000001,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,500000000000000000,0,500688608137295,500650250051417,500500688608137295,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,500000000000000000,0,166896202712430937,162332138244698945,666896202712430937,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,500000000000000000,0,1001377216274585595,417169769430702674,1000688608137292792,500688608137292803
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,899274926761610589,1,1,1,899274926761610588,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,899274926761610589,1,848595632157516,1226432288858119,898048494472752470,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,899274926761610589,1,282865210719171108,322208230853208873,577066695908401716,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,899274926761610589,1,1697191264315026619,811309451005457630,87965475756152959,848595632157513315
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,899274926761610589,0,1,0,899274926761610590,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,899274926761610589,0,101413681375685,70032808042835,899376340442986274,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,899274926761610589,0,33804560458560741,22116427497594209,933079487220171330,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,899274926761610589,0,202827362751364417,58154211549563586,1000688608137292792,101413681375682214
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,1000688608137292792,1,1,2,1000688608137292790,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,1000688608137292792,1,906749843707079,2010857579831140,998677750557461652,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,1000688608137292792,1,302249947902358970,383611319650309817,617077288486982975,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,1000688608137292792,1,1813499687414153791,912723132381139833,87965475756152959,906749843707076901
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,1000688608137292792,0,1,0,1000688608137292792,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,1000688608137292792,0,3,0,1000688608137292792,3
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,1000688608137292792,0,7,0,1000688608137292792,7
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,79228162514264337593543950336,1000000000000000000,1000688608137292792,0,11,0,1000688608137292792,11
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,87965475756152958,1,1,0,87965475756152958,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,87965475756152958,1,3,0,87965475756152958,3
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,87965475756152958,1,7,0,87965475756152958,7
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,87965475756152958,1,11,0,87965475756152958,11
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,87965475756152958,0,1,0,87965475756152958,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,87965475756152958,0,28862839714480,60308205718142392533338559528,88878198865940324,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,87965475756152958,0,9620946571492623,12013547138857476119861644085942,392206519867621682,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,87965475756152958,0,57725679428955707,28673947741160587661227761319981,1000688608137292792,28862839714477858
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,218354494667744362,1,1,0,218354494667744362,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,218354494667744362,1,6009583488107463955799784077,5075741631492,218193985624043821,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,218354494667744362,1,2003194496035821318599928024882,1611681338434260,167388655749335009,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,218354494667744362,1,12019166976214927911599568149265,4123262816353978,87965475756152959,6009583488107463955799784074638
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,218354494667744362,0,1,0,218354494667744362,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,218354494667744362,0,24739576898126,29270147029480109661106337178,219136828752812739,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,218354494667744362,0,8246525632707963,8810293508234802178746453184092,479132532468539617,0
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,218354494667744362,0,49479153796247751,22664364253053123705427977245354,1000688608137292792,24739576898123881
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,500000000000000000,1,1,0,500000000000000000,1
S,12070000000000000000,87965475756152958,1000688608137292792,82830230569297326,2505414483750479311864138015696063230,1000000000000000000000000,500000000000000000,1,15481881317477540149234391355,15480721553284,499510456600687627,0
